exam_cycle_year,actual_exam_date,shift_number_time,tier,source_url_reference,source_class,retrieval_verification_date,source_hash,expected_question_count,extracted_question_count,classified_count,ambiguous_excluded_count,exclusion_reason,reviewer_status,notes
2016,unverified,unverified,Tier-I,https://ssc.gov.in/for-candidates/previous-year-question-paper,official discovery index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,official index does not prove a complete retained shift corpus,needs-review,"No paper text copied or classified."
2016,unverified,unverified,Tier-I,https://byjus.com/ssc-exams/ssc-chsl-exam-analysis/,reputable secondary reconstruction index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,no independently verified shift manifest or source hash,needs-review,"Secondary context only; completeness not claimed."
2017,unverified,unverified,Tier-I,https://ssc.gov.in/for-candidates/previous-year-question-paper,official discovery index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,official index does not prove a complete retained shift corpus,needs-review,"No shift-level extraction."
2017,unverified,unverified,Tier-I,https://www.practicemock.com/blog/ssc-chsl-topic-wise-weightage/,reputable secondary topic analysis,2026-09-01,not-retained,100-per-valid-shift,0,0,0,aggregate ranges cannot establish shift coverage,needs-review,"Prior only; no question classification."
2018,unverified,unverified,Tier-I,https://ssc.gov.in/for-candidates/previous-year-question-paper,official discovery index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,official index does not prove a complete retained shift corpus,needs-review,"No shift-level extraction."
2018,unverified,unverified,Tier-I,https://byjus.com/ssc-exams/ssc-chsl-exam-analysis/,reputable secondary reconstruction index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,no independently verified shift manifest or source hash,needs-review,"Secondary context only."
2019,unverified,unverified,Tier-I,https://ssc.gov.in/for-candidates/previous-year-question-paper,official discovery index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,cycle label differs from actual sitting dates and requires reconciliation,needs-review,"Cycle year and actual exam date remain separate."
2019,unverified,unverified,Tier-I,https://byjus.com/ssc-exams/ssc-chsl-exam-analysis/,reputable secondary memory-based analysis,2026-09-01,not-retained,100-per-valid-shift,0,0,0,aggregate 2019-20 analysis is not a complete shift corpus,needs-review,"Topic ranges used only as a bootstrap cross-check."
2020,unverified,unverified,Tier-I,https://ssc.gov.in/for-candidates/previous-year-question-paper,official discovery index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,cycle and conduct-year reconciliation incomplete,needs-review,"No retained response-sheet hash."
2020,unverified,unverified,Tier-I,https://byjus.com/ssc-exams/ssc-chsl-exam-analysis/,reputable secondary memory-based analysis,2026-09-01,not-retained,100-per-valid-shift,0,0,0,no proven complete date-shift manifest,needs-review,"No question classification."
2021,unverified,unverified,Tier-I,https://ssc.gov.in/for-candidates/previous-year-question-paper,official discovery index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,official index does not prove a complete retained shift corpus,needs-review,"No shift-level extraction."
2021,unverified,unverified,Tier-I,https://www.practicemock.com/blog/ssc-chsl-topic-wise-weightage/,reputable secondary topic analysis,2026-09-01,not-retained,100-per-valid-shift,0,0,0,aggregate ranges cannot establish shift coverage,needs-review,"Prior only."
2022,unverified,unverified,Tier-I,https://ssc.gov.in/for-candidates/previous-year-question-paper,official discovery index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,official index does not prove complete availability,needs-review,"Expired response-sheet access is recorded as a gap."
2022,unverified,unverified,Tier-I,https://www.practicemock.com/blog/ssc-chsl-topic-wise-weightage/,reputable secondary topic analysis,2026-09-01,not-retained,100-per-valid-shift,0,0,0,no shift-level provenance or hashes,needs-review,"No question classification."
2023,2023-03-09 to 2023-03-21,unverified,Tier-I,https://byjus.com/ssc-exams/ssc-chsl-exam-analysis/,reputable secondary memory-based analysis,2026-09-01,not-retained,100-per-valid-shift,0,0,0,sampled days and approximate ranges do not prove all shifts,needs-review,"Source reports the conduct window and sampled four-shift tables; zero shifts imported."
2023,unverified,unverified,Tier-I,https://ssc.gov.in/for-candidates/previous-year-question-paper,official discovery index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,no retained official paper/response-sheet corpus,needs-review,"Official discovery trace only."
2024,unverified,unverified,Tier-I,https://ssc.gov.in/for-candidates/previous-year-question-paper,official discovery index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,official index does not prove complete retained coverage,needs-review,"No shift-level extraction."
2024,unverified,unverified,Tier-I,https://www.practicemock.com/blog/ssc-chsl-topic-wise-weightage/,reputable secondary topic analysis,2026-09-01,not-retained,100-per-valid-shift,0,0,0,aggregate topic guidance cannot establish shift coverage,needs-review,"No question classification."
2025,unverified,unverified,Tier-I,https://ssc.gov.in/api/attachment/uploads/masterData/NoticeBoards/Notice_of_adv_chsl_2025.pdf,official notice,2026-09-01,not-retained,100-per-valid-shift,0,0,0,rules and syllabus source only; not a question-paper corpus,reviewed-rules-only,"Official baseline verified; zero paper shifts classified."
2025,unverified,unverified,Tier-I,https://www.practicemock.com/blog/ssc-chsl-topic-wise-weightage/,reputable secondary topic analysis,2026-09-01,not-retained,100-per-valid-shift,0,0,0,topic ranges and predictions are not retained shift evidence,needs-review,"Cross-check only; no production question text copied."
