section_key,bucket_key,target_count,minimum_inventory,raw_taxonomy_quality_eligible,complete_verified_groups,launch_verified_facets,raw_deficit,launch_deficit,status
english,error_improvement,3,24,150,0,0,0,24,requires_facet_human_review
english,fill_completion,2,20,100,0,0,0,20,requires_facet_human_review
english,synonyms_antonyms,3,24,150,0,0,0,24,requires_facet_human_review
english,idioms,2,20,50,0,0,0,20,requires_facet_human_review
english,one_word,2,20,50,0,0,0,20,requires_facet_human_review
english,spelling,2,20,50,0,0,0,20,requires_facet_human_review
english,voice_narration,2,20,100,0,0,0,20,requires_facet_human_review
english,para_jumble,2,20,150,0,0,0,20,requires_facet_human_review
english,atomic_comprehension,5,40,250,0,0,0,40,blocked_no_verified_atomic_groups
english,grammar_usage_misc,2,20,700,0,0,0,20,requires_facet_human_review
reasoning,analogy,2,20,150,0,0,0,20,requires_facet_human_review
reasoning,classification,2,20,150,0,0,0,20,requires_facet_human_review
reasoning,series,3,24,250,0,0,0,24,requires_facet_human_review
reasoning,coding_operations,3,24,250,0,0,0,24,requires_facet_human_review
reasoning,relations_direction_ranking,4,32,250,0,0,0,32,requires_facet_human_review
reasoning,logic_inference,2,20,250,0,0,0,20,requires_facet_human_review
reasoning,missing_matrix_arithmetic,3,24,550,0,0,0,24,requires_facet_human_review
reasoning,non_verbal,4,32,350,0,0,0,32,requires_facet_human_review
reasoning,dice_cube_spatial,2,20,100,0,0,0,20,requires_facet_human_review
quantitative_aptitude,number_system_simplification,3,24,800,0,0,0,24,requires_facet_human_review
quantitative_aptitude,percentage_ratio_average,3,24,250,0,0,0,24,requires_facet_human_review
quantitative_aptitude,commercial_math,3,24,300,0,0,0,24,requires_facet_human_review
quantitative_aptitude,time_work_pipes,2,20,100,0,0,0,20,requires_facet_human_review
quantitative_aptitude,speed_distance,2,20,100,0,0,0,20,requires_facet_human_review
quantitative_aptitude,mixture_partnership,1,20,150,0,0,0,20,requires_facet_human_review
quantitative_aptitude,algebra,2,20,300,0,0,0,20,requires_facet_human_review
quantitative_aptitude,geometry,2,20,450,0,0,0,20,requires_facet_human_review
quantitative_aptitude,mensuration,2,20,650,0,0,0,20,requires_facet_human_review
quantitative_aptitude,trigonometry,2,20,300,0,0,0,20,requires_facet_human_review
quantitative_aptitude,data_interpretation,3,24,450,0,0,0,24,requires_facet_human_review
general_awareness,current_events,4,32,0,0,0,32,32,blocked_raw_inventory_gap
general_awareness,history,3,24,300,0,0,0,24,requires_facet_human_review
general_awareness,culture,2,20,400,0,0,0,20,requires_facet_human_review
general_awareness,geography,2,20,350,0,0,0,20,requires_facet_human_review
general_awareness,polity,3,24,400,0,0,0,24,requires_facet_human_review
general_awareness,economy,2,20,450,0,0,0,20,requires_facet_human_review
general_awareness,biology,2,20,300,0,0,0,20,requires_facet_human_review
general_awareness,physics,2,20,150,0,0,0,20,requires_facet_human_review
general_awareness,chemistry,2,20,50,0,0,0,20,requires_facet_human_review
general_awareness,environment_research_static,3,24,600,0,0,0,24,requires_facet_human_review
