section_key,bucket_key,target_count,minimum_inventory,raw_taxonomy_quality_eligible,raw_deficit,launch_verified_facets,complete_verified_groups,status
reasoning,analogy,2,20,0,20,0,0,blocked_raw_inventory_gap
reasoning,classification,1,20,40,0,0,0,requires_facet_human_review
reasoning,series,3,24,40,0,0,0,requires_facet_human_review
reasoning,coding_operations,3,24,80,0,0,0,requires_facet_human_review
reasoning,relations_direction_ranking,3,24,80,0,0,0,requires_facet_human_review
reasoning,logic_inference,3,24,200,0,0,0,requires_facet_human_review
reasoning,missing_matrix_arithmetic,3,24,160,0,0,0,requires_facet_human_review
reasoning,non_verbal,5,40,80,0,0,0,requires_facet_human_review
reasoning,dice_cube_spatial,2,20,40,0,0,0,requires_facet_human_review
general_awareness,current_events,4,32,0,32,0,0,blocked_missing_explicit_event_dates
general_awareness,history,3,24,120,0,0,0,requires_facet_human_review
general_awareness,culture,2,20,160,0,0,0,requires_facet_human_review
general_awareness,geography,2,20,140,0,0,0,requires_facet_human_review
general_awareness,polity,3,24,160,0,0,0,requires_facet_human_review
general_awareness,economy,2,20,180,0,0,0,requires_facet_human_review
general_awareness,biology,3,24,120,0,0,0,requires_facet_human_review
general_awareness,physics,2,20,60,0,0,0,requires_facet_human_review
general_awareness,chemistry,2,20,20,0,0,0,requires_facet_human_review
general_awareness,environment_research_static,2,20,240,0,0,0,requires_facet_human_review
quantitative_aptitude,number_system_simplification,2,20,60,0,0,0,requires_facet_human_review
quantitative_aptitude,percentage_ratio_average,3,24,40,0,0,0,requires_facet_human_review
quantitative_aptitude,commercial_math,3,24,60,0,0,0,requires_facet_human_review
quantitative_aptitude,time_work_pipes,2,20,20,0,0,0,requires_facet_human_review
quantitative_aptitude,speed_distance,2,20,20,0,0,0,requires_facet_human_review
quantitative_aptitude,mixture_partnership,1,20,40,0,0,0,requires_facet_human_review
quantitative_aptitude,algebra,2,20,60,0,0,0,requires_facet_human_review
quantitative_aptitude,geometry,3,24,20,4,0,0,blocked_raw_inventory_gap
quantitative_aptitude,mensuration,2,20,220,0,0,0,requires_facet_human_review
quantitative_aptitude,trigonometry,3,24,0,24,0,0,blocked_raw_inventory_gap
quantitative_aptitude,data_interpretation,2,20,0,20,0,0,blocked_raw_inventory_gap
english,error_improvement,4,32,20,12,0,0,blocked_raw_inventory_gap
english,fill_completion,2,20,20,0,0,0,requires_facet_human_review
english,synonyms_antonyms,3,24,0,24,0,0,blocked_raw_inventory_gap
english,idioms,2,20,0,20,0,0,blocked_raw_inventory_gap
english,one_word,2,20,0,20,0,0,blocked_raw_inventory_gap
english,spelling,2,20,0,20,0,0,blocked_raw_inventory_gap
english,voice_narration,3,24,0,24,0,0,blocked_raw_inventory_gap
english,para_jumble,2,20,0,20,0,0,blocked_raw_inventory_gap
english,atomic_comprehension,5,40,20,20,0,0,blocked_no_verified_atomic_groups
