exam_cycle_year,actual_exam_date,shift_number_time,tier,source_url_reference,source_class,retrieval_verification_date,source_hash,expected_question_count,extracted_question_count,classified_count,ambiguous_excluded_count,exclusion_reason,reviewer_status,notes
2016,unverified,unverified,Tier-I,https://docs.aglasem.com/org/ssc/ssc-cgl/question-paper,reputable secondary reconstruction index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,index-only; shift manifest and paper hashes not independently verified,needs-review,"Secondary archive advertises date/shift papers; no paper text was copied or classified."
2016,unverified,unverified,Tier-I,https://testbook.com/ssc-cgl-exam/previous-year-papers,reputable secondary reconstruction index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,index-only; shift manifest and paper hashes not independently verified,needs-review,"Second-source index only; paywall/login and corpus completeness were not audited."
2017,unverified,unverified,Tier-I,https://docs.aglasem.com/org/ssc/ssc-cgl/question-paper,reputable secondary reconstruction index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,index-only; shift manifest and paper hashes not independently verified,needs-review,"No shift-level extraction or classification in this repository."
2017,unverified,unverified,Tier-I,https://testbook.com/ssc-cgl-exam/previous-year-papers,reputable secondary reconstruction index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,index-only; shift manifest and paper hashes not independently verified,needs-review,"Second-source index only."
2018,unverified,unverified,Tier-I,https://docs.aglasem.com/org/ssc/ssc-cgl/question-paper,reputable secondary reconstruction index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,index-only; shift manifest and paper hashes not independently verified,needs-review,"No shift-level extraction or classification in this repository."
2018,unverified,unverified,Tier-I,https://testbook.com/ssc-cgl-exam/previous-year-papers,reputable secondary reconstruction index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,index-only; shift manifest and paper hashes not independently verified,needs-review,"Second-source index only."
2019,unverified,unverified,Tier-I,https://docs.aglasem.com/org/ssc/ssc-cgl/question-paper,reputable secondary reconstruction index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,index-only; shift manifest and paper hashes not independently verified,needs-review,"No shift-level extraction or classification in this repository."
2019,unverified,unverified,Tier-I,https://testbook.com/ssc-cgl-exam/previous-year-papers,reputable secondary reconstruction index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,index-only; shift manifest and paper hashes not independently verified,needs-review,"Second-source index only."
2020,unverified,unverified,Tier-I,https://docs.aglasem.com/org/ssc/ssc-cgl/question-paper,reputable secondary reconstruction index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,index-only; cycle label differs from actual 2021 sitting dates and requires reconciliation,needs-review,"Cycle year is preserved separately from actual date; no shift-level extraction."
2020,unverified,unverified,Tier-I,https://testbook.com/ssc-cgl-exam/previous-year-papers,reputable secondary reconstruction index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,index-only; cycle/date reconciliation incomplete,needs-review,"Second-source index only."
2021,unverified,unverified,Tier-I,https://docs.aglasem.com/org/ssc/ssc-cgl/question-paper,reputable secondary reconstruction index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,index-only; shift manifest and paper hashes not independently verified,needs-review,"No shift-level extraction or classification in this repository."
2021,unverified,unverified,Tier-I,https://testbook.com/ssc-cgl-exam/previous-year-papers,reputable secondary reconstruction index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,index-only; shift manifest and paper hashes not independently verified,needs-review,"Second-source index only."
2022,unverified,unverified,Tier-I,https://docs.aglasem.com/org/ssc/ssc-cgl/question-paper,reputable secondary reconstruction index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,index lists date/shift papers but was not converted into a proven complete manifest,needs-review,"Search-visible archive includes four shifts on several December dates; completeness not claimed."
2022,unverified,unverified,Tier-I,https://testbook.com/ssc-cgl-exam/previous-year-papers,reputable secondary reconstruction index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,index-only; shift manifest and paper hashes not independently verified,needs-review,"Second-source index only."
2023,unverified,unverified,Tier-I,https://docs.aglasem.com/org/ssc/ssc-cgl/question-paper,reputable secondary reconstruction index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,index lists July all-shift date bundles but individual shifts were not verified,needs-review,"No paper text was copied or classified."
2023,unverified,unverified,Tier-I,https://testbook.com/ssc-cgl-exam/previous-year-papers,reputable secondary reconstruction index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,index-only; shift manifest and paper hashes not independently verified,needs-review,"Second-source index only."
2024,unverified,unverified,Tier-I,https://docs.aglasem.com/org/ssc/ssc-cgl/question-paper,reputable secondary reconstruction index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,index lists September all-shift date bundles but individual shifts were not verified,needs-review,"No paper text was copied or classified."
2024,unverified,unverified,Tier-I,https://testbook.com/ssc-cgl-exam/previous-year-papers,reputable secondary reconstruction index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,index-only; shift manifest and paper hashes not independently verified,needs-review,"Second-source index only."
2025,unverified,unverified,Tier-I,https://ssc.gov.in/api/attachment/uploads/masterData/NoticeBoards/CGLE_2025_Update_26092025.pdf,official notice,2026-09-01,not-retained,100-per-valid-shift,0,0,0,official notice confirms completion context but does not enumerate a complete retained paper corpus,needs-review,"Official notice is evidence about conduct status only; one affected Mumbai-centre shift was noted."
2025,unverified,unverified,Tier-I,https://docs.aglasem.com/org/ssc/ssc-cgl/question-paper,reputable secondary reconstruction index,2026-09-01,not-retained,100-per-valid-shift,0,0,0,index lists September/October date bundles but individual shifts and conflicts were not verified,needs-review,"Cross-check index only; zero shifts classified."

